City,Lat,Lng,Max Temp,Humidity,Country,Date,Cloudiness,Wind Speed
mayumba,-3.432,10.6554,77.36,90,GA,1650856735,100,4.07
mattru,7.6244,-11.8332,73.89,91,SL,1650856735,100,2.21
veshenskaya,49.6303,41.7334,52.45,81,RU,1650856735,99,6.55
kodiak,57.79,-152.4072,51.31,54,US,1650856714,100,11.5
marrakesh,31.6315,-8.0083,53.47,77,MA,1650856546,0,2.95
pitimbu,-7.4706,-34.8086,75.79,83,BR,1650856503,66,8.05
paka,4.6374,103.4368,86.18,67,MY,1650856736,100,2.42
dunedin,-45.8742,170.5036,61.81,59,NZ,1650856736,41,21.0
berlevag,70.8578,29.0864,32.0,82,NO,1650856737,100,6.2
storsteinnes,69.2408,19.2344,35.38,100,NO,1650856737,100,3.06
saint george,37.1041,-113.5841,65.25,15,US,1650856737,0,11.5
atasu,48.6814,71.6433,34.52,90,KZ,1650856738,100,12.64
mandalgovi,45.7625,106.2708,34.34,41,MN,1650856738,10,30.53
snezhnogorsk,69.1933,33.2531,33.58,97,RU,1650856738,100,4.27
provideniya,64.3833,-173.3,37.51,65,RU,1650856739,0,7.0
san carlos de bariloche,-41.1456,-71.3082,35.35,87,AR,1650856739,100,23.02
tura,25.5198,90.2201,83.43,64,IN,1650856739,25,6.46
tucuma,-0.1833,-50.05,75.38,94,BR,1650856740,88,4.03
saint-francois,46.4154,3.9054,51.24,87,FR,1650856740,100,8.05
georgetown,5.4112,100.3354,87.73,74,MY,1650856453,20,0.0
hadejia,12.4498,10.0444,82.26,32,NG,1650856741,40,12.1
kavieng,-2.5744,150.7967,84.92,69,PG,1650856741,100,7.43
bredasdorp,-34.5322,20.0403,57.24,69,ZA,1650856741,89,4.12
altay,47.8667,88.1167,39.54,41,CN,1650856742,82,1.52
umea,63.8284,20.2597,35.91,86,SE,1650856742,0,5.75
hofn,64.2539,-15.2082,41.34,87,IS,1650856742,99,4.18
tuktoyaktuk,69.4541,-133.0374,32.45,85,CA,1650856743,100,3.91
south daytona,29.1658,-81.0045,74.07,79,US,1650856743,0,13.0
amapa,1.0,-52.0,71.71,99,BR,1650856743,44,2.48
rawson,-43.3002,-65.1023,55.09,35,AR,1650856744,1,31.76
port elizabeth,-33.918,25.5701,57.31,75,ZA,1650856744,100,8.01
bima,-8.4667,118.7167,88.57,56,ID,1650856744,90,3.98
caravelas,-17.7125,-39.2481,74.88,93,BR,1650856745,0,3.15
puro,12.4841,123.3827,85.8,70,PH,1650856745,86,8.59
aykhal,66.0,111.5,21.16,77,RU,1650856746,38,5.68
torbay,47.6666,-52.7314,38.75,97,CA,1650856746,100,11.5
arraial do cabo,-22.9661,-42.0278,74.77,73,BR,1650856746,98,9.8
alencon,48.4333,0.0833,41.81,97,FR,1650856747,33,5.08
hervey bay,-25.2986,152.8535,78.03,61,AU,1650856747,99,5.99
grand gaube,-20.0064,57.6608,75.38,72,MU,1650856747,59,4.0
saint-pierre,-21.3393,55.4781,74.88,69,RE,1650856748,40,18.41
hurghada,27.2574,33.8129,71.26,34,EG,1650856748,0,10.65
half moon bay,37.4636,-122.4286,63.57,77,US,1650856749,40,25.32
imphal,24.8167,93.95,78.71,65,IN,1650856749,40,1.14
edd,13.9297,41.6925,86.9,60,ER,1650856576,60,10.54
nandgaon,20.3167,74.65,89.64,17,IN,1650856749,0,10.76
tyrma,50.0833,132.1667,47.57,43,RU,1650856750,100,1.72
mayo,38.8876,-76.5119,60.26,79,US,1650856750,0,10.36
niquero,20.0431,-77.5828,74.41,84,CU,1650856750,100,3.58
ulaangom,49.9811,92.0667,35.65,29,MN,1650856751,1,6.38
coquimbo,-29.9533,-71.3436,55.13,94,CL,1650856587,20,5.75
port moresby,-9.4431,147.1797,89.02,66,PG,1650856751,40,11.5
moctezuma,29.8,-109.6667,71.33,18,MX,1650856752,0,5.1
kirkwall,58.9848,-2.9587,44.65,81,GB,1650856752,100,9.22
marmashen,40.8349,43.7779,39.88,75,AM,1650856752,20,2.3
sillanwali,31.8261,72.5398,87.19,25,PK,1650856753,95,7.14
dunmore town,25.5,-76.65,75.36,72,BS,1650856753,100,21.94
lagoa,39.05,-27.9833,57.56,75,PT,1650856754,0,18.48
beckley,37.7782,-81.1882,70.21,43,US,1650856754,0,6.91
jiuquan,39.7432,98.5174,59.41,39,CN,1650856755,0,6.58
adrar,20.5022,-10.0711,69.73,36,MR,1650856755,0,9.33
nagua,19.3832,-69.8474,72.93,81,DO,1650856756,34,6.53
queanbeyan,-35.35,149.2333,68.58,62,AU,1650856756,40,5.75
zhezkazgan,47.8043,67.7144,44.58,76,KZ,1650856756,75,6.71
asau,46.4333,26.4,54.95,85,RO,1650856757,100,3.38
pabna,24.0,89.25,94.12,45,BD,1650856757,5,10.11
balkanabat,39.5108,54.3671,72.18,26,TM,1650856757,100,13.69
xiaoweizhai,26.1903,107.5125,71.94,87,CN,1650856758,96,2.35
gwadar,25.1216,62.3254,80.47,75,PK,1650856494,0,2.48
yarim,14.298,44.3779,55.63,63,YE,1650856758,6,1.43
vila,42.0304,-8.1588,40.08,93,PT,1650856759,99,3.13
kieta,-6.2167,155.6333,86.05,65,PG,1650856759,21,4.56
kourou,5.1552,-52.6478,81.1,90,GF,1650856760,70,7.16
vila velha,-20.3297,-40.2925,78.75,86,BR,1650856687,75,11.5
norman wells,65.282,-126.8329,37.09,93,CA,1650856760,95,1.3
yinchuan,38.4681,106.2731,74.32,20,CN,1650856761,100,11.9
barra patuca,15.8,-84.2833,78.57,80,HN,1650856761,4,10.54
longyearbyen,78.2186,15.6401,6.64,72,SJ,1650856761,75,12.66
bonavista,48.6499,-53.1147,36.28,93,CA,1650856762,100,18.41
naze,28.3667,129.4833,75.29,81,JP,1650856762,1,6.89
namibe,-15.1961,12.1522,68.99,85,AO,1650856762,1,4.32
pangoa,-12.1167,-73.0,69.66,98,PE,1650856763,100,2.24
mocuba,-16.8392,36.9856,68.63,99,MZ,1650856763,59,3.89
phan thiet,10.9333,108.1,88.25,61,VN,1650856763,34,7.49
gimbi,9.1667,35.8333,58.87,85,ET,1650856764,92,2.55
phalaborwa,-23.943,31.1411,68.0,64,ZA,1650856471,9,4.09
athabasca,54.7169,-113.2854,45.12,71,CA,1650856764,62,12.15
lorengau,-2.0226,147.2712,85.3,63,PG,1650856764,89,8.12
ulaanbaatar,47.9077,106.8832,30.33,55,MN,1650856657,40,15.66
belmonte,-15.8631,-38.8828,77.97,85,BR,1650856765,76,7.67
padang,-0.9492,100.3543,77.05,77,ID,1650856765,100,5.35
harper,4.375,-7.7169,80.49,83,LR,1650856766,100,3.89
mto wa mbu,-3.35,35.85,67.14,94,TZ,1650856766,100,1.52
shemordan,56.1856,50.3972,46.53,83,RU,1650856767,100,6.55
kavaratti,10.5669,72.642,84.27,70,IN,1650856767,26,2.39
rawah,34.4816,41.9093,65.55,45,IQ,1650856768,93,1.19
meulaboh,4.1363,96.1285,84.38,74,ID,1650856747,95,4.94
havoysund,70.9963,24.6622,32.23,71,NO,1650856768,100,6.24
tuatapere,-46.1333,167.6833,54.81,76,NZ,1650856769,75,16.93
upernavik,72.7868,-56.1549,-0.54,88,GL,1650856769,42,6.49
kaitong,44.8135,123.15,73.62,30,CN,1650856769,15,20.54
deputatskiy,69.3,139.9,13.03,85,RU,1650856770,100,4.16
odweyne,9.4092,45.064,69.66,79,SO,1650856770,100,3.76
westport,41.1415,-73.3579,47.91,63,US,1650856745,0,3.44
port lincoln,-34.7333,135.8667,67.6,68,AU,1650856770,86,15.41
necochea,-38.5473,-58.7368,66.49,45,AR,1650856481,100,19.46
matai,-8.3,31.5167,59.38,97,TZ,1650856771,100,2.57
youkounkoun,12.5333,-13.1333,79.07,59,GN,1650856771,44,6.8
rosetta,31.4044,30.4164,63.03,83,EG,1650856772,0,6.69
carlyle,38.6103,-89.3726,67.37,92,US,1650856772,100,5.99
turba,59.0831,24.225,40.64,76,EE,1650856773,40,10.36
saldanha,-33.0117,17.9442,56.53,79,ZA,1650856773,0,11.21
